cluster,lat,lon,canal,accion_sugerida,promedio_transacciones_red,clientes_afectados,departamento,provincia,distrito,perfil_top,oportunidad_clientes_nominas,pct_digital,ingreso_prom,edad_prom,diagnostico,%Participacion_General_BBVA,%Participacion_PN_BBVA,%Participacion_PYME_BBVA,Ranking_General,Ranking_PN,Ranking_PYME
46,-6.032765455120376,-76.9720214433887,agente,nuevo_punto,0.0,6461,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Real,6,1,1,1,"[""Zona con 6.461 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 6 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.33,0.34,0.2,1533,1506,446
47,-3.7555466265181465,-73.26035295328565,agente,mantener_recomendacion,377.0,5756,LORETO,MAYNAS,IQUITOS,Real,0,1,1,1,"[""Zona con 5.756 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.32,0.32,0.26,1496,1426,523
48,-12.154756112684158,-77.02242681794566,agente,nuevo_punto,0.0,6151,LIMA,LIMA,CHORRILLOS,Real,0,1,1,1,"[""Zona con 6.151 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.33,1145,1004,591
49,-12.024500992310458,-77.0728321925026,agente,nuevo_punto,0.0,6032,LIMA,LIMA,SAN MARTIN DE PORRES,Real,229,1,1,1,"[""Zona con 6.032 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 229 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.26,0.06,1062,1069,152
50,-8.080914934099894,-79.12112332222614,agente,nuevo_punto,11.0,6651,LA LIBERTAD,TRUJILLO,HUANCHACO,Real,84,1,1,1,"[""Zona con 6.651 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 84 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.1,1049,981,243
51,-12.069416551060009,-77.05450296539098,agente,nuevo_punto,0.0,6235,LIMA,LIMA,PUEBLO LIBRE,Real,0,1,1,1,"[""Zona con 6.235 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.22,1250,1145,469
52,-12.069416551060009,-76.99493297727822,agente,nuevo_punto,0.0,5795,LIMA,LIMA,SAN LUIS,Real,101,1,1,1,"[""Zona con 5.795 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 101 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.27,1147,1016,530
53,-12.15924766855911,-76.98576836372241,agente,nuevo_punto,0.0,6000,LIMA,LIMA,SANTIAGO DE SURCO,Real,0,1,1,1,"[""Zona con 6.000 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.17,1048,936,388
54,-16.349869299892205,-71.56489944546081,agente,nuevo_punto,0.0,6937,AREQUIPA,AREQUIPA,CERRO COLORADO,Real,0,1,1,1,"[""Zona con 6.937 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.25,0.14,1084,985,338
55,-6.7109903922385925,-79.90011547446998,agente,nuevo_punto,0.0,6105,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,Real,0,1,1,1,"[""Zona con 6.105 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.29,0.12,1283,1236,291
56,-16.37232707926698,-71.5740640590166,agente,nuevo_punto,0.0,5582,AREQUIPA,AREQUIPA,CERRO COLORADO,Real,0,1,1,1,"[""Zona con 5.582 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.25,0.14,1084,985,338
57,-12.028992548185414,-77.05908527216889,agente,nuevo_punto,0.0,6470,LIMA,LIMA,SAN MARTIN DE PORRES,Real,386,1,1,1,"[""Zona con 6.470 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 386 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.25,0.26,0.06,1062,1069,152
58,-9.104989673589653,-78.4429419190962,agente,nuevo_punto,0.0,6068,ANCASH,SANTA,NUEVO CHIMBOTE,Real,0,1,1,1,"[""Zona con 6.068 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.31,0.31,0.14,1430,1367,337
59,-5.709373432123609,-78.80036184777279,agente,nuevo_punto,0.0,6508,CAJAMARCA,JAEN,JAEN,Real,1,1,1,1,"[""Zona con 6.508 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 1 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.29,0.31,0.16,1340,1364,371
60,-12.132298333309382,-76.99035067050032,agente,nuevo_punto,0.0,5596,LIMA,LIMA,SANTIAGO DE SURCO,Real,170,1,1,1,"[""Zona con 5.596 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 170 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.17,1048,936,388
61,-4.626908466259437,-79.71224089657588,agente,nuevo_punto,0.0,5829,ICA,ICA,ICA,Real,0,1,1,1,"[""Zona con 5.829 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.24,1207,1099,493
62,-14.19841403578872,-75.71646938624274,agente,nuevo_punto,0.0,5553,ICA,ICA,ICA,Real,0,1,1,1,"[""Zona con 5.553 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.24,1207,1099,493
63,-11.984076989435863,-77.07741449928051,agente,nuevo_punto,0.0,5729,LIMA,LIMA,LOS OLIVOS,Real,0,1,1,1,"[""Zona con 5.729 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.23,1177,1058,484
64,-13.937903795041326,-71.5740640590166,agente,nuevo_punto,0.0,6660,CUSCO,CUSCO,CUSCO,Real,0,1,1,1,"[""Zona con 6.660 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.18,1300,1227,407
65,-3.733088847143371,-73.26951756684146,agente,nuevo_punto,0.0,5980,LORETO,MAYNAS,IQUITOS,Real,0,1,1,1,"[""Zona con 5.980 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.32,0.32,0.26,1496,1426,523
66,-12.064924995185056,-76.9720214433887,agente,nuevo_punto,280.0,5673,LIMA,LIMA,ATE,Real,0,1,1,1,"[""Zona con 5.673 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.24,1315,1221,500
67,-5.192844506503775,-80.61953763860107,agente,nuevo_punto,0.0,5846,PIURA,PIURA,CASTILLA,Real,0,1,1,1,"[""Zona con 5.846 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.27,0.27,0.14,1225,1158,332
68,-12.320943680057496,-76.82538762649574,agente,nuevo_punto,0.0,5820,LIMA,LIMA,PUNTA HERMOSA,Real,0,1,1,1,"[""Zona con 5.820 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.18,0.19,0.1,672,615,249
69,-16.408259526266622,-71.49158253701432,agente,nuevo_punto,0.0,6145,AREQUIPA,AREQUIPA,TIABAYA,Real,0,1,1,1,"[""Zona con 6.145 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.2,0.21,0.03,761,720,77
70,-11.975093877685953,-76.77498225193878,agente,nuevo_punto,0.0,5639,LIMA,LIMA,CHACLACAYO,Real,0,1,1,1,"[""Zona con 5.639 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.14,1287,1184,334
71,-12.154756112684158,-76.96743913661079,agente,nuevo_punto,0.0,5925,LIMA,LIMA,SAN JUAN DE MIRAFLORES,Real,216,1,1,1,"[""Zona con 5.925 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 216 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.26,0.19,1150,1046,416
