index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1062,ICA,CHINCHA,TAMBO DE MORA,263421,791804,4897561,984627,19366370,1943387,1009153,,3196590,4934134,3529773,6933171,4058079,1877298,5656,42487,566221,,2826170,341605,307865
1063,ICA,ICA,ICA,9768893,265721361,326470812,240816138,1094012842,322502113,275508642,33398,418218976,399509439,497877058,651614990,539481038,252655645,875383,17853925,47112438,2524134,315684475,44069159,7265564
1064,ICA,ICA,LA TINGUIÑA,1335269,20223724,20889258,15104311,197036864,46058278,10510363,10174,30803252,31878835,38746275,78869404,49770613,13056638,95283,2184729,7815181,480738,81310144,12391939,2082064
1065,ICA,ICA,LOS AQUIJES,581354,6831098,4591425,3894418,73264436,18213650,2977537,14046,11031685,10256628,12799108,30496003,15874090,5913664,19135,952472,2168021,46852,34735859,3639103,178026
1066,ICA,ICA,OCUCAJE,117026,207573,396740,234744,19327835,2394673,94003,4658,768988,1058545,1429327,5285492,2905420,340867,13416,,81830,,7592435,1136668,
1067,ICA,ICA,PACHACUTEC,219644,925856,1140318,440862,35352305,2564839,1670916,553,2697004,2272112,4418222,13872205,5110845,1886271,11637,142459,747941,28647,14031618,963492,380471
1068,ICA,ICA,PARCONA,1752920,10816258,28660819,14536746,254582244,71350661,14512238,3077,31647687,36043955,43962066,102294283,51746114,18777026,82615,1487784,11792816,650883,110519746,14565179,258376
1069,ICA,ICA,PUEBLO NUEVO,134486,1166537,2354020,1668418,27725160,3503931,2810452,,4190337,3318699,5538282,14817758,7331799,2794698,1968,,33988,,8527967,1200345,
1070,ICA,ICA,SALAS,779972,2739400,3642848,3678949,82723149,9159519,2979286,9866,10090559,10810767,12420395,33225024,14267744,6673805,131740,59069,1315661,4032,36513665,4768531,3415
1071,ICA,ICA,SAN JOSÉ DE LOS MOLINOS,203662,199606,930323,371025,36285999,3703227,720314,,2527820,2347596,3261862,10555257,4999298,1609479,867,70673,188057,2002,16410099,1374687,984
